"address","address_lat","address_lng","nearest_mrt_name","distance_to_nearest_mrt"
"177 ANG MO KIO AVENUE 4",1.3758993,103.8379745,"Mayflower",526
"612 ANG MO KIO AVENUE 4",1.3790781,103.8394691,"Lentor",746
"105 ANG MO KIO AVENUE 4",1.3723414,103.8376468,"Mayflower",476
"254 ANG MO KIO AVENUE 4",1.3703512,103.8345488,"Mayflower",505
"648 ANG MO KIO AVENUE 5",1.3782807,103.8432799,"Yio Chu Kang",769
"537 ANG MO KIO AVENUE 5",1.3752225,103.8532832,"Ang Mo Kio",947
"179 ANG MO KIO AVENUE 5",1.376861,103.8364347,"Mayflower",723
"522 ANG MO KIO AVENUE 5",1.3730717,103.852131,"Ang Mo Kio",669
"634 ANG MO KIO AVENUE 6",1.3816568,103.8433186,"Yio Chu Kang",366
"638 ANG MO KIO AVENUE 6",1.38046,103.8435976,"Yio Chu Kang",601
"636 ANG MO KIO AVENUE 6",1.3812168,103.843317,"Yio Chu Kang",371
"700A ANG MO KIO AVENUE 6",1.3699527,103.846172,"Ang Mo Kio",612
"700B ANG MO KIO AVENUE 6",1.3694778,103.8459457,"Ang Mo Kio",488
"633 ANG MO KIO AVENUE 6",1.381223,103.8423224,"Yio Chu Kang",487
"511 ANG MO KIO AVENUE 8",1.3735561,103.8501126,"Ang Mo Kio",612
"627 ANG MO KIO AVENUE 9",1.3818874,103.8413239,"Yio Chu Kang",783
"620 ANG MO KIO AVENUE 9",1.3824856,103.8395144,"Lentor",442
"260A ANG MO KIO STREET 21",1.3693737,103.8340217,"Mayflower",654
"260B ANG MO KIO STREET 21",1.3690578,103.8338895,"Mayflower",677
"309A ANG MO KIO STREET 31",1.3650244,103.8453195,"Ang Mo Kio",936
"316A ANG MO KIO STREET 31",1.3646699,103.8470904,"Ang Mo Kio",908
"317 ANG MO KIO STREET 31",1.3656628,103.8469428,"Ang Mo Kio",709
"315A ANG MO KIO STREET 31",1.3644618,103.8466525,"Ang Mo Kio",897
"353 ANG MO KIO STREET 32",1.3640681,103.8515967,"Ang Mo Kio",954
"350 ANG MO KIO STREET 32",1.3637044,103.8500976,"Ang Mo Kio",855
"351 ANG MO KIO STREET 32",1.364369,103.8503158,"Ang Mo Kio",814
"354 ANG MO KIO STREET 32",1.3639116,103.8519697,"Ang Mo Kio",1007
"352 ANG MO KIO STREET 32",1.364197,103.8513719,"Ang Mo Kio",927
"455B ANG MO KIO STREET 44",1.3682684,103.8584922,"Ang Mo Kio",1258
